state,startup,website,foundedDate,description,personaEnd,jobEnd,persona,job,personaAbstract,jobAbstract,taskDetail,jobHow,market,marketDetail,interest,nextStep,status,industries,revenueEstimated,location,investors,operatingStatus,leadInvestors,totalFunding,exitDate,contactEmail,contactPhone,crunchbaseURL,IPOstatus,contactsInCrunchbase,acquisitionStatus,type,fundingDate,employeeSize
AZ,Inspections Over Coffee,https://www.homeinspectionsovercoffee.com/phoenixhomeinspection,1/1/2020,"Home Inspection, Commercial Inspection, Environmental Inspection",,,,home inspections,construction,"diagnose, inspect",,,low,low - not 10x scalable ,3,,,Real Estate,,"Phoenix, Arizona, United States",,Active,,,,Curt@inspectionsovercoffee.com,602-962-5282,https://www.crunchbase.com/organization/inspections-over-coffee,Private,,,For Profit,,10
AZ,Western Wealth Communities,https://www.westernwealthcommunities.com/,1/1/2020,Western Wealth Communities is a people-first property management company.,,,"property owners, renters",property management,property owners,operations,property management,service level,low,"low - seems like they have traction, lots of employees. Regionally focused. ",2,Maybe ask Bart if he's interested in property management,,"Property Management, Real Estate",,"Tempe, Arizona, United States",,Active,,,,lduffy@westernwealthcommunities.com,480-660-5599,https://www.crunchbase.com/organization/western-wealth-communities,Private,10,,For Profit,,50
AZ,ElysianMed,https://elysianmed.io/,8/14/2020,"ElysianMed is an award winning Healthcare Consulting & Marketing Firm, founded by Roman Alexander Wellington",,,doctors,operations,doctors,"marketing, operations",operations and sales consulting,consulting,low,low - consulting. Not 10x scalable,2,,"11/16 - checked website, looks like they are still doing it but not signs of growth and scalable traction. ","Advertising, Brand Marketing, Business Development, Consulting, Digital Marketing, Public Relations",,"Scottsdale, Arizona, United States",,Active,,,,contact@elysianmed.io,(877) 374-0647,https://www.crunchbase.com/organization/elysianmed,Private,,,For Profit,,10
AZ,Phantom Space,http://www.phantomspace.com,1/5/2020,"Phantom Space focuses on space transportation technology including satellites, propulsion, and launch vehicles.","Companies that want to send things into space, e.g. satellites",rocket propulsion,rocket procurement,propel rockets and space ships into outer space,satellite companies,power,propulsion to space ,specialized mfg of rocket propulsion components,moderate,"moderate - hard to enter, willingness to pay is somewhat high because specialized need",2,,,"Aerospace, Space Travel, Transportation",$1M to $10M,"Tucson, Arizona, United States","Chenel Capital, Caravela Capital, Fady Hannah-Shmouni, MD FRCPC",Active,1,27505605,,contact@phantomspace.com,+1 520 771 8654,https://www.crunchbase.com/organization/phantom-space-corporation,Private,,Made Acquisitions,For Profit,11/4/2021,50
AZ,Imagen Dental Partners,https://www.imagendentalpartners.com,1/1/2020,Imagen Dental Partners is a collaborative community that partners with dental practices and supports their growth.,,,dentists,practice ownership and running a practice,dentists,operations,practice ownership and management,partnership model reduces risk and simplifies operating a dental office,low,"low - seems easy to replicate, dentists likely want their own name on the practice and their own glory,",2,,,"Communities, Dental, Health Care, Medical",,"Scottsdale, Arizona, United States",,Active,,18680129,,info@imagendentalpartners.com,(480) 590-5701,https://www.crunchbase.com/organization/imagen-dental-partners,Private,16,,For Profit,8/31/2022,50
AZ,Rumble League Studios,https://www.rumblekongleague.com/,1/1/2020,Rumble League Studio's purpose is to empower players by changing the existing quo of digital ownership.,gamers,fun video game,owners,make money,gamers,,,use a video game to create a fake scarce market,moderate,moderate - I'm curious if it works. ,2,ask aobut KPIs,,"Ethereum, Gaming, Video Games",,"Phoenix, Arizona, United States","Animoca Brands, Framework Ventures, Sebastien Borget, Creative Artists Agency, IDEO CoLab Ventures",Active,1,4500000,,hello@rl.games,,https://www.crunchbase.com/organization/rumble-league-studios,Private,,,For Profit,12/14/2021,10
AZ,GeniusX,http://www.geniusx.com,1/1/2020,GeniusX is a provider of virtual reality technology solutions for video and audio platforms.,,,teachers and students,learn,students,"learning, certificatin",VR technology for learning,VR learning more effective than regular digital classes,low,low - too early to the market. For it to work people would need to have VR headsets en masse. Claim VR makes learning more engaging and higher outcomes. Maybe just ahead of its time,2,watch this market - what is Meta doing,,"Augmented Reality, EdTech, Software, Virtual Reality",,"Tempe, Arizona, United States",ETW,Active,,1854999,,,,https://www.crunchbase.com/organization/geniusx,Private,2,,For Profit,5/3/2022,50
AZ,House of Yards App,https://App.HouseofYards.com,7/1/2022,"Landscaping business management software for landscapers. Instant quote, online booking, scheduling, invoice, payment, & CRM all in one app.",,,,,,,,,low,"low - highly competitive market, adds cost to already low margins. ",2,Could check KPIs,,"CRM, Home Services, Information Technology, Landscaping, SaaS, Software",Less than $1M,"Chandler, Arizona, United States",,Active,,,,marie@houseofyards.com,+1 (818) 927-3458,https://www.crunchbase.com/organization/house-of-yards,Private,,,For Profit,,10
AZ,Medina Hospitality,https://www.medinahospitality.com,1/1/2020,Medina Hospitality is a property management company.,,,property owners,property management,,,,services,low,low - not 10x scalable ,2,,,"Commercial, Hospitality, Property Management",$1M to $10M,"Prescott, Arizona, United States",,Active,,,,nick@medinahospitality.com,,https://www.crunchbase.com/organization/medina-hospitality,Private,,,For Profit,,10
AZ,Norris Management,https://norrismgmt.com/,1/1/2020,"Norris Management is a property management firm that t specializes in residential, commercial, and Homeowner Association (HOA) management.",,,property owners,property management,,,,services,low,low - not 10x scalable ,2,,,"Property Development, Property Management, Real Estate, Rental Property",,"Casa Grande, Arizona, United States",,Active,,,,rentals@norrismgmt.com,+1 520-836-2056,https://www.crunchbase.com/organization/norris-management,Private,,,For Profit,,50
AZ,AutoHunter,https://autohunter.com/,1/1/2020,AutoHunter provides an online auction solution built on innovative technology supported by an award-winning customer service team.,,,,,,,,,medium,medium - auto auction platform. I assume this is like what Rick Hansen uses daily. Probably late entrant and me-too in already established market. Compete with Mannheim? ,2,,"11/16 - checked website, it's legitimate. Niche is for classic renovated vehicles (like a 68' rolls phantom). Cool site, but  not one I would invest in, already backed by classiccars.com","Auctions, Online Auctions",,"Phoenix, Arizona, United States",,Active,,,,info@autohunter.com,(480)845-6600,https://www.crunchbase.com/organization/autohunter,Private,1,,For Profit,,50
AZ,Tracksite,https://www.tracksite.io,1/1/2020,Tracksite is a software development company offering a compliance management platform.,,,companies,compliance tracking,,,,software,low,low - guessing software is not elegant,2,Call to ask about KPIs and see if it's real or they don't have a product yet. ,11/16 - checked site. Saw some signs that it was selling smoke. Perhaps worth a call though. ,"Compliance, Real Time, Software",,"Scottsdale, Arizona, United States",,Active,,,,support@tracksite.io,+1 480 256 9293,https://www.crunchbase.com/organization/tracksite,Private,,,For Profit,,10
AZ,rDigz,http://www.RDigz.com,7/15/2020,RDigz is a real estate app that provides a supply of properties that are for sale but have not yet been listed on the traditional market.,,,,,,,,,low,low - me-too and late entrant,2,,"11/16 - checked site, it's only a mobile app and is a subsidiary of another real estate compnay. Seem s complicated","Real Estate, Software",,"Scottsdale, Arizona, United States",,Active,,,,Contact@rDigz.com,,https://www.crunchbase.com/organization/rdigz,Private,,,For Profit,,10
AZ,Bidlight,https://bidlight.com,1/1/2020,"Bidlight provides a SaaS solution that helps Architects, Engineers, and Contractors estimate projects more efficiently.",,,construction companies,bid jobs,construction pros,operations,prepare quotes for job bids,streamlined technology enabled,moderate,moderate - suspect not an easy thing to solve or willingness to pay is low,1,,Check website and possibly pass along to Bart - 11/16 checked website and didn't see signs of traction. Changed interest level to 1,"Internet, SaaS, Software",,"Tempe, Arizona, United States",,Active,,,,,+1 480-859-4697,https://www.crunchbase.com/organization/bidlight,Private,1,,For Profit,,10
