state,startup,website,foundedDate,description,Full Description,personaEnd,jobEnd,persona,job,personaAbstract,jobAbstract,taskDetail,jobHow,market,feasiblility,execution,marketDetail,interest,nextStep,status,industries,jobCategories,revenueEstimated,location,investors,operatingStatus,totalFunding,rounds,fundingStatus,fundingLastDate,fundingLastAmount
UT,LevelNext,https://www.levelnext.com,2/11/2022,Mentor Marketplace,"LevelNext is the premier marketplace for mentors to connect with tech professionals wanting to take their career, team and company to the next level. Staying relevant in tech is a constant struggle, and the slow pace of traditional education simply can't keep up. The solution? 1 on 1 guidance from the experts who have been there, done that (and here now, doing that). Whether you need a mentor, coach, advisor, consultant or sponsor - We provide a sophisticated platform to find who you need to get where you want to go - As fast as possible.",,,worker,pay for mentors (or get paid to be a mentor) to help you with career development,worker,training,share career goals and get advice and mentorship,software platform that connects mentees with mentors,"medium - seems like its been overdone, could be interesting segment (software developers and tech people)",company is really early stage. ,,,4,wait and check back later,,"Commerce and Shopping, Other, Professional Services, Software","Consulting, Marketplace, Professional Services, Software",,"South Jordan, Utah, United States","Jonathan Greene, Steven Kiger",Active,400000,1,Seed,3/31/2022,400000
UT,ESTOKEN,https://ESTOKEN.com,5/1/2021,Bringing the benefits of blockchain to real estate investing,,,,investors,new means to invest in real-estate,investors,investing,claim by tokenizing real estate investments they create benefits such as liquidity,,"medium - the job is interesting to me, if I understand it right. It's like making a mortgage-backed security in blockchain, at least it's backed by something. ",,"poor - no signs of success, but concept is fairly clear and crisp with benefits",,4,due diligence,,,,,"American Fork, Utah, United States",,Active,1060000,2,Seed,8/10/2021,1000000
UT,Angel Studios,https://www.angel.com,1/1/2021,Angel Studios is a video streaming service and media company.,Angel Studios is a video streaming service and media company that finances it's productions through equity crowdfunding.,,,household,filter video entertainment,household,customize media,choose what content is filtered out of entertainment,users select what content they find objectionalble and it is removed from their streamed video services,medium,,,,3,,,"Content and Publishing, Media and Entertainment, Video","Digital Entertainment, Film Production, Media and Entertainment, TV Production, Video Streaming",,"Provo, Utah, United States","Kickstart, Uncorrelated Ventures, Gigafund, Alta Ventures Mexico",Active,65516316,3,,6/6/2022,13516785
UT,SaVia Health,https://saviahealth.com/,1/1/2022,SaVia Health develops software that provides real decision support to clinicians at the point of care.,"SaVia Health develops software that provides real decision support to clinicians at the point of care. Founded in 2022, SaVia is based in Charlotte, North Carolina.",patients,better healthcare,doctor/medical ,support decision support at the point of care,doctor,treat patients,software that supports real decision support to clinicians at the point of care,software,medium - more and more less trained providers may need support,tough - adoption and usability as well as ego?,,,3,,,"Health Care, Software","Health Care, Medical, Software",,"Salt Lake City, Utah, United States","Brent James, Kickstart, Intel Capital, Peterson Ventures, Tom Barton",Active,8500000,1,Seed,12/8/2022,8500000
UT,Allset,https://tryallset.com/,10/1/2021,Automated payments and communications platform for home service businesses.,"Allset is a fully automated payments and messaging platform for home service businesses. Our software leverages customers CRM data to automate communications after completed services. Hundreds of businesses using Allset see an increase of 300%+ revenue.    Allset is a Seed stage company and is backed by Foundation Capital, Pear, Mucker and other leading venture firms. Allset was founded in 2020 and is based in Lehi, Utah. To learn more about Allset, visit www.tryallset.com",,household,pay for services,small business owners,collect payments,business,operations,software like venmo for small home service providers to collect payments,"medium to low - it's such a giant market maybe there is space for it, but how can they compete with existing solutions like venmo, square, etc�? ",who pays for it? What is the business model? ,,,3,,,"Information Technology, Internet Services, Messaging and Telecommunications, Real Estate, Software","Home Services, Messaging, Property Management, Software",,"Lehi, Utah, United States","Alumni Ventures, Sunstone Management, Bossanova Investimentos, Foundation Capital, Pear VC",Active,3000000,2,Seed,9/1/2022,
UT,Paintbrush,https://www.GetPaintbrush.com,1/1/2021,Paintbrush is a fintech company connecting idea-stage founders with the non-dilutive capital they need to grow on their own terms.,"Paintbrush is a fintech company that helps idea-stage companies get off the ground with its proprietary Paintbrush Loan, a non-dilutive startup loan, backed by an income-driven guarantee. The company was founded in 2021 by Stephen Walter and Kaela Worthen and is based in Salt Lake City.",business founders,funding,business,get early stage seed funding,business,funding,a non-dilutive startup loan backed by an income-driven guaruntee,fancy wrapper around a personal loan backed by a bank,low - crowded,it seems like it is just a marketing pitch on top of a bank loan,,,3,,,Financial Services,"Financial Services, FinTech",$10M to $50M,"Salt Lake City, Utah, United States","Kickstart, Oreilly AlphaTech Ventures, Continental Bank",Active,26500000,2,Seed,5/15/2022,25000000
UT,dree,https://dree.com,6/1/2021,"A peer to peer marketplace. Dree develops, markets, and operates a mobile platform that allows customers to outsource the chore of laundry.",A service built to help communities focus on what matters most. Our proprietary technology facilitates the connection between our customers and laundry prices (dreePros). We manage the communication and service experience as well as track valuable data points that enable additional services and resources.,,,household,outsource laundry,household,cleaning,,,"low - know this has been tried before without success, don't think software will be game changer in adoption",,,,2,,,"Apps, Clothing and Apparel, Commerce and Shopping, Internet Services, Real Estate, Software","Apps, Home Services, Internet, Laundry and Dry-cleaning, Marketplace",,"Lehi, Utah, United States",Tribe Angels,Active,1100000,1,Seed,11/1/2021,1100000
UT,Dental Dash,http://www.dentaldash.co,1/22/2021,B2B SaaS - AI Smart Tasks boosting Dental Offices profitability,"The team of veterans and engineers at Dental Dash is on a mission a to give every dentist in America peace of mind that they are achieving their goals without giving up the doctor lifestyle.  Dental Dash Human-in-the-Loop A.I. task recommendations, automation, & Dashboards for dental offices and DSOs makes it easy for frontline workers to be recognized for being productive and not busy",,,dentists,"practice operations - recall, reactivation, billing and collections",dentist,practice operations,,claim to be AI with human in the loop,"low - saturated market, job is focused on already big target for other companies, doesn't do other parts of ops management",,,,2,,,"Data and Analytics, Financial Services, Health Care, Information Technology, Other, Payments, Software","Billing, Business Intelligence, Dental, Electronic Health Record (EHR), Health Care, Information Technology, Payments, SaaS, Small and Medium Businesses, Software",,"Lehi, Utah, United States","Urban Capital Network, PC Ventures",Active,468000,3,Seed,4/18/2022,
UT,DrumCV,http://www.drumcv.com/,1/5/2022,SaaS,"DrumCV fixes customer support data so that product, dev, and support teams can easily identify, prioritize, and solve customers’ top product issues.",,,business,customer support,business,customer support,help business have better success with customer support,improves/fixes customer support data,low - crowded market where existing players who have CRMs are more likely to succeed as established players. Feels like a feature than could be easily replicated,,,,2,,,Software,Software,,"Pleasant Grove, Utah, United States","Coldwater Capital, VacaGuzman Ventures",Active,760157,1,Seed,8/2/2022,760157
UT,HitPiece,https://www.hitpiece.com,1/1/2021,The simplest way to create and buy authentic music artist NFTs and a beautiful music metaverse to listen and show them off.,"HitPiece bridges the gap between music creators and fans by utilizing NFTs and exclusive in-person and metaverse experiences. Creators/Owners launch NFT-unlocked content, connections, and opportunities for fans.",,,musicians,sell their music online,entertainment,market and sell,,,low - me too in already crowded market (e.g. spotify),,,,1,,,"Financial Services, Media and Entertainment, Music and Audio, Other, Payments, Software","Blockchain, Cryptocurrency, Music",,"Provo, Utah, United States","Jacob Canady, Pelion Venture Partners, Rick Ross",Active,5000000,1,Seed,10/25/2022,5000000
UT,StreamFT,https://www.streamft.com,2/1/2022,"Hyper-Personalized and ""living"" banking for members of all communities and brands",not enough information - website is invite only,,,,,,,,,n/a - no info,,,,1,,,Financial Services,FinTech,,"Salt Lake City, Utah, United States",Social Leverage,Active,2000000,1,Seed,5/30/2022,2000000
UT,Giddy,https://giddy.co/,5/1/2021,"Giddy is a blockchain and crypto technology company, which allows easy access to DeFi returns for consumers.",,,,,,,,,,,,,,0,,,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, FinTech",,"Draper, Utah, United States","Pelion Venture Partners, Blake Murray, Jeff Burningham, Eric Varvel, Jeremy Andrus",Active,8000000,1,Seed,1/14/2022,8000000
UT,SmartFi,https://smartfi.com/,1/1/2021,SmartFi is a unique monetary system.,"SmartFi is a digital wealth creation platform that provides easy to use financial tools to earn, trade and lend cryptocurrencies.",,,,,,,,,low - not interested in crypto,,,,0,,,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Financial Services",,"Orem, Utah, United States",,Active,10000000,1,,10/12/2021,10000000
UT,Motos America,https://motosamerica.com,1/1/2021,Motos America is a motorcycle dealership consolidation company that purchases and operates powersports dealerships.,"Motos America is a motorcycle dealership consolidation company that purchases and operates Powersports dealerships, with an emphasis on European luxury motorcycle brands, including BMW Motorcycles, Triumph Motorcycles, and Ducati Motorcycles.",,,motorcycle buyers,buy & service premium motorcycles,motorists,purchase vehicles,,,low - dealership in a waning demand market segment,,,,0,,,"Manufacturing, Transportation","Industrial, Logistics, Transportation",,"Salt Lake City, Utah, United States",,Active,5000000,1,IPO,4/28/2022,5000000
UT,pieFi,https://piefi.io/,1/1/2021,Putting Community on the Cap Table,"pieFi is a collective of designers, engineers and friends who want to make a difference by building innovative web3 products. Our core product, the UpsideDAO, is a bridge between brands and their communities.",,,,,,,,,n/a too vague to identify,,no signs of execution,,0,,,"Community and Lifestyle, Financial Services, Other","Blockchain, Finance, Social",,"Salt Lake City, Utah, United States",Kickstart,Active,4600000,1,Seed,4/15/2021,4600000
UT,Dimension X,https://www.dimx.dev/,6/10/2022,Dimension X is building a platform that empowers all creators and storytellers to build immersive experiences.,Dimension X is building a platform that empowers all creators and storytellers to build immersive experiences.,,,business,software development,business,software development,I think they are really just a software house that focuses on AR/VR development,,"low - not a scalable solution, more like a professional services company",,,,,,,"Hardware, Software","Augmented Reality, Software, Virtual Reality",,"Salt Lake City, Utah, United States",Startup Ignition Ventures,Active,600000,1,Seed,8/17/2022,600000
UT,Ostrich Cyber-Risk,https://www.ostrichcyber-risk.com/,9/1/2021,Qualitative and quantitative cyber risk assessment,Ostrich Cyber-Risk develops and licenses a SaaS based cyber risk management application. Ostrich Cyber-Risk combines qualitative risk analysis and quantitative scenario simulation to deliver a more comprehensive cyber risk management solution.,,,business,cyber assessment,business,cyber,,,low - crowded me-too,solution didn't seem super compelling,,,,,,"Information Technology, Privacy and Security, Professional Services, Software","Cyber Security, Risk Management, Software",,"Salt Lake City, Utah, United States","EPIC Ventures, Laughlin Capital",Active,3500000,2,Seed,8/1/2022,2000000
UT,OMOS Golf,http://www.omosgolf.com/,1/1/2021,OMOS Golf manufactures and sells golf accessories.,"OMOS Golf manufactures golf accessories to enhance the performance of golfers.  The company was founded in 2021 and is based in West Valley City, Utah.",,,golfer,sports equipment,athlete,sports equipment,golf products,,low - late entrant into a crowded industry with mega players,,,,,,,"Commerce and Shopping, Manufacturing, Sports","Golf, Manufacturing, Sporting Goods",,"West Valley City, Utah, United States",,Active,50000,1,Seed,12/17/2021,50000
UT,Leftovers,http://getleftovers.com/,9/1/2022,DoorDash for leftover restaurant food,Leftovers helps restaurants and cafés reduce food waste. Instead of throwing surplus food away they can now sell it on the Leftovers app. Consumers place a pickup order in the app and get high quality food for 50% off.,,,household,buy inexpensive and discounted food,household,eat,they post leftover food from grocers and restaraunts and people can order it online at deep discounts,software website and possibly app,"medium - there is a real problem, inflation could be a tailwind, solves a need on both sides",challenging - seems to be headwinds. Other apps on the appstore try to do the same thing and don't seem to have any traction. Maybe it's the stigma of eating leftover food? Why not just market it as a promotion? ,I think the marketing message is an issue. Call it something else - like groupon for food??,,,,,,,,"Lehi, Utah, United States",,Active,30000,1,Seed,9/1/2022,30000
UT,"Modal Group, Inc.",http://mod.al,1/1/2021,Transportation solutions for the AI-driven future.,"Mdal is dedicated to providing transportation solutions for the AI-driven future. Built by a combination of mechanical, industrial, and AI/data engineers, Mdal is committed to creating a streamlined travel and transport experience.",,,EV automakers and owners,"accessories, engineering work",auto,engineering,They are a collection of engineers patenting products,,medium - not going to be a unicorn. Crowded space and red ocean,good - they already have patented tech,,,,,,"Artificial Intelligence, Data and Analytics, Manufacturing, Science and Engineering, Software, Transportation","Artificial Intelligence, Autonomous Vehicles, Electric Vehicle, Industrial Automation, Machine Learning",,"American Fork, Utah, United States",121am Ventures,Active,1200000,1,Seed,1/4/2021,1200000
UT,HellaRoller,https://hellaroller.com/,1/1/2022,HellaRoller is a customizable and adjustable roller that relieves pain and prevents injury for all body types.,"HellaRoller is a customizable and adjustable roller that relieves pain and prevents injury for all body types. The company is headquartered in Lehi, Utah, United States.",,,,,,,,,,,,,,,,"Health Care, Sports","Fitness, Health Care, Wellness",,"Lehi, Utah, United States",,Active,250001,1,,3/9/2022,250001
UT,DX,https://getdx.com/,1/1/2021,The world's first developer experience management platform,"DX is the world’s first developer experience management platform, helping organizations measure and improve top drivers of developer productivity and engagement. DX is designed by leading software engineering researchers, providing science-backed metrics, workflows, and education that empower teams to improve.",,,,,,,,,,,,,,,,"Science and Engineering, Software","Software, Software Engineering",,"Park City, Utah, United States",,Active,,,,,
UT,Plotline,https://www.plotline.so/,1/1/2021,Plotline builds a global SaaS product that empowers organizations to understand their customers better.,Plotline builds a global SaaS product that empowers organizations to understand their customers better.,,,,,,,,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment, Software","Internet, Publishing, SaaS, Software",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Dizraptor,https://dizraptor.app,9/14/2021,Dizraptor is an app for investments in private companies at the pre-IPO and mid-stage.,"Until recently, investing in private companies was more of a privilege of large funds, and the process of investing by itself remained extremely inconvenient. Dizraptor lets you invest in private companies with a lower entry threshold, through a friendly interface. Dizraptor gives you the opportunity to invest in one of the most promising markets. Dizraptor focuses on investments in disruptive innovative companies with strong fundamentals, big market opportunities and mission-driven teams. Most importantly, it lets you participate in the development of innovative technologies that change our lives for the better and solve some of the most pressing issues the world faces. The future is now, and we believe that everyone should be part of it.",,,,,,,,,,,,,,,,"Apps, Financial Services, Lending and Investments, Software","Apps, Financial Services, FinTech, Trading Platform",,"Salt Lake City, Utah, United States","Roman Vishnevskii, Anatoly Radchenko, Dmitry Belousov",Active,,1,Seed,10/15/2021,
UT,Galvan,https://galvan.health/,1/1/2021,Web3 Health and Wellness,"At Galvan, we aspire for you to take ownership of your health and wellness. This will be accomplished through an ecosystem that encourages physical stamina, affirms mental wellness, and informs you about ways to care for yourself and others. By leveraging blockchain technology and a unique Proof of Action (PoA) protocol, Galvan is turning self-care into a reward-generating activity and reintroducing personal accountability. All Galvan services will be trackable, encouraging responsibility while providing a basis for rewarding healthy actions. The Galvan suite of products and services are expansive, addressing holistic wellness instead of only healthcare. Galvan is supported by a community that mitigates costs, ensures security, and ultimately enables rewards for living well in a way that traditional health organizations could never even attempt. Galvan is individually focused—it is up to you, not your doctor, therapist, etc. to use Galvan. That means the rewards for using Galvan also go to you. The Galvan network is owned and operated by the community, making it transparent and good for the soul.",,,,,,,,,,,,,,,,"Financial Services, Health Care, Information Technology, Other, Payments, Software, Sports","Blockchain, Cryptocurrency, Electronic Health Record (EHR), Fitness, Health Care, Information Technology, Wellness",,"Lehi, Utah, United States",,Active,,1,Seed,1/1/2021,
UT,Milestones,http://getmilestones.com,1/1/2021,Client portal that auto updates clients on their status.,Milestones is an application that updates clients on the status of their project. It integrates with CRM's so that no additional work is needed to update clients.,,,,,,,,,,,,,,,,Professional Services,Legal Tech,$50M to $100M,"Orem, Utah, United States",,Active,,1,Seed,1/20/2022,
UT,1440,https://www.1440.io/,5/3/2021,1440 is a SaaS Conversational Commerce platform.,"Maximize the 1440 minutes in your day, there are no exchanges or refunds. We help brands build experiences seamlessly across the digital customer journey by harnessing Voice of Customers and streamlining global eCommerce operations. The 1440 mission is to provide businesses with what they need to win the moments that matter most. Every minute of every day, 1440 is helping businesses eliminate clunky back-office processes. It starts with the management of global Consumer Reviews that consumers use when selecting products to buy. Once that customer is won, we make it our goal to help you delight them with multi-channel Order Management. And when it comes to taking your business around the globe, our simple and accurate Translation tool defies all language barriers.",,,,,,,,,,,,,,,,"Apps, Information Technology, Sales and Marketing, Software","CRM, Enterprise Applications, Enterprise Software, SaaS, Software",,"Park City, Utah, United States",,Active,,,,,
UT,Distro,https://distro.io/,11/1/2021,"Distro is a marketplace for software developers and technologies companies to find, hire, and pay developers all around the world.","Distro is a marketplace for software developers and technologies companies to find, hire, and pay developers all around the world. Technology leadership no longer needs to be reliant on either low volume of available Senior Engineering candidates or hiring the alternative dev shop. With Distro, businesses can find, interview and hire developers directly through the app. No need to create entities and logistics in other countries, simply sign up for Distro for free and start hiring developers to work directly for you. All Distro developer job roles are for full-time, long-term work. If you are looking for short-term gig work, Distro is not for you.",,,,,,,,,,,,,,,,"Professional Services, Software","Recruiting, Software",,"Lehi, Utah, United States",,Active,,,,,
UT,Vistim Labs Inc.,https://vistimlabs.com,9/1/2021,"Enabling early intervention in Alzheimer's Disease with accessible, affordable, and sensitive diagnostics that leverage brain activity.",,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering","Health Diagnostics, Medical, Medical Device, Neuroscience",,"Salt Lake City, Utah, United States",PharmStars,Active,,1,,7/12/2022,
UT,Addie Health,https://www.addiehealth.com/,9/1/2022,Empower Children battling Cancer.,,,,,,,,,,,,,,,,,"Apps, Community and Lifestyle, Health Care, Software","Apps, Children, Health Care, Medical, Software, Wellness",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Envelope Money,https://www.envelopemoney.com,4/14/2021,Envelope Money is a mobile app on a mission to unify banking with budgeting.,,,,,,,,,,,,,,,,,,,,"Lehi, Utah, United States",,Active,,,,,
UT,Grix Venture Capital,https://www.grix.vc/,1/1/2021,Grix Venture Capital is a venture capital firm partnering with entrepreneurs that form enterprise software companies.,"Grix Venture Capital is a venture capital firm partnering with entrepreneurs that form enterprise software companies. It was founded in 2021 and is based in Salt Lake City, Utah.",,,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Software","Enterprise Software, Software, Venture Capital",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Balance Money,https://balancemoney.com,7/1/2021,Balance Money is a personalized-banking solution built to empower customers by giving them more control of their finances.,"Balance Money is a personalized-banking solution built to empower customers by giving them more control of their finances. We automate everyday financial tasks, provide budgeting tools and give insights aimed at helping you achieve your financial goals.",,,,,,,,,,,,,,,,"Apps, Financial Services, Lending and Investments, Mobile, Software","Apps, Banking, Financial Services, FinTech, Mobile Apps, Software",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,VESO,https://www.myveso.com/,1/1/2021,VESO is a financial technology company focused on facilitating private secondary transactions in private venture-backed companies.,"VESO is a financial technology company focused on facilitating private secondary transactions in venture-backed companies. VESO enables shareholders of private companies to achieve liquidity prior to a traditional liquidity event such as an IPO or acquisition by connecting them to a global network of investors. VESO serves shareholders including founders, current/former employees, and investors.",,,,,,,,,,,,,,,,"Financial Services, Payments","Finance, Financial Services, FinTech, Payments",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Factor,https://www.joinfactor.com/,1/1/2022,Factor empowers high schoolers to pursue what they want to do and be in the world.,Factor empowers high schoolers to pursue what they want to do and be in the world.,,,,,,,,,,,,,,,,"Education, Software","E-Learning, EdTech, Education",,"Lehi, Utah, United States",Peterson Ventures,Active,,1,Seed,11/30/2021,
UT,Gamify,https://www.gogamify.com/,1/1/2021,Gamify is a software that uses leaderboards and gamification to incentivize sales reps to reach their goals.,"Gamify integrates with CRM that is configurable to the team's needs. Sales data has a greater purpose than being used for micromanaging. Gamify data with leaderboards, spiffs, trophies, and a company currency! Every aspect of the sales cycle is incentivized within its mobile app to get the sales team invested in every moment of their day.",,,,,,,,,,,,,,,,"Gaming, Information Technology, Sales and Marketing, Software","CRM, Gamification, Sales, Software",,"Provo, Utah, United States",RevRoad,Active,,1,Seed,1/12/2022,
UT,ClearGrowth,https://www.getcleargrowth.com/,2/2/2021,ClearGrowth has merged technology with finance to help business owners grow their business and achieve the American dream.,"ClearGrowth has merged financial services and technology to make it accessible for small business owners. Using software and business expertise, we help entrepreneurs and business owners achieve the American dream. Setting the business up for success is what we are passionate about. All businesses are unique in their own way, but ClearGrowth can understand your specific needs and what it takes to achieve growth and financial clarity. While in business, we've found business owners who have various issues such as time management, lack of a business overview, misunderstanding of finances, not having enough funds, not having the correct KPIs, and simply not understanding what it takes to grow the business! We offer a painkiller to all of these problems and will understand your needs. Small businesses in America are the backbone of the economy and are often burdened with competing with large corporations. Along with the normal hardships that come with running a business, small business owners also face fierce competition. We stand with small businesses across America and help them compete with bigger corporations and enable them to grow their business! Visit our site and learn more! If you're interested, please contact us and we'll hold a one on one meeting on how we can help elevate your business to the next stage of growth.",,,,,,,,,,,,,,,,"Financial Services, Professional Services","Financial Services, FinTech, Management Consulting",,"American Fork, Utah, United States",,Active,,,,,
UT,Bitszer,https://bitszer.com,1/3/2022,Bitszer is a monetization platform for gamers to earn money.,"Bitszer is a free software plugin that adds an auction house into games.  As gamers trade items with each other using cryptocurrency as funds, both Bitszer and the game developer make a commission off of each transaction.",,,,,,,,,,,,,,,,"Gaming, Mobile, Software","Casual Games, Mobile, Software",,"Provo, Utah, United States",,Active,,,,,
